x,y
60006,164813.26
47193,130090.03
26755,74703.05
-64447,-172454.37
-93296,-250635.16
87587,239557.77
26417,73787.07
-48859,-130210.89
-21509,-56092.39
-67882,-181763.22
-31948,-84382.08
18043,51093.53
-18221,-47181.91
-88911,-238751.81
-27457,-72211.47
-49614,-132256.94
-76502,-205123.42
-44998,-119747.58
-7718,-18718.78
-3803,-8109.13
86470,236530.7
35521,98458.91
-65306,-174782.26
7967,23787.57
54160,148970.6
11362,32988.02
-72381,-193955.51
-56628,-151264.88
60383,165834.93
28627,79776.17
-38239,-101430.69
80317,219856.07
21658,60890.18
-99882,-268483.22
51893,142827.03
15021,42903.91
-94629,-254247.59
-80674,-216429.54
-71926,-192722.46
49498,136336.58
-24626,-64539.46
-12971,-32954.41
77833,213124.43
3858,12652.18
-98257,-264079.47
-54541,-145609.11
-87984,-236239.64
-84242,-226098.82
23391,65586.61
-44855,-119360.05
-25121,-65880.91
87727,239937.17
-87142,-233957.82
41992,115995.32
-76235,-204399.85
-45244,-120414.24
59670,163902.7
65445,179552.95
73601,201655.71
26053,72800.63
-51633,-137728.43
30340,84418.4
-87366,-234564.86
-82004,-220033.84
36938,102298.98
34718,96282.78
58845,161666.95
-73018,-195681.78
83493,228463.03
-40880,-108587.8
97534,266514.14
96860,264687.6
13979,40080.09
46532,128298.72
-47298,-125980.58
12983,37380.93
67255,184458.05
-92541,-248589.11
-6145,-14455.95
84355,230799.05
-59974,-160332.54
29123,81120.33
-69644,-186538.24
60948,167366.08
32061,89082.31
94613,258598.23
-91074,-244613.54
82469,225687.99
-79326,-212776.46
-60167,-160855.57
-17209,-44439.39
31660,87995.6
-59206,-158251.26
83520,228536.2
86482,236563.22
-79655,-213668.05
93093,254479.03
8791,26020.61
-7766,-18848.86
-14283,-36509.93
96789,264495.19
-82841,-222302.11
-99433,-267266.43
21825,61342.75
-7428,-17932.88
-94631,-254253.01
-55000,-146853.0
-96401,-259049.71
94246,257603.66
32639,90648.69
-70486,-188820.06
49207,135547.97
20945,58957.95
-10027,-24976.17
-85757,-230204.47
-97289,-261456.19
-5910,-13819.1
-92188,-247632.48
-98382,-264418.22
66067,181238.57
-11266,-28333.86
-99044,-266212.24
-50154,-133720.34
-53300,-142246.0
24780,69350.8
-68635,-183803.85
-44138,-117416.98
4143,13424.53
63601,174555.71
96418,263489.78
-96783,-260084.93
-2705,-5133.55
57057,156821.47
-808,7.32
34919,96827.49
89575,244945.25
33121,91954.91
-75700,-202950.0
55364,152233.44
44569,122978.99
-74807,-200529.97
36470,101030.7
-40503,-107566.13
-76331,-204660.01
-53480,-142733.8
81999,224414.29
-39152,-103904.92
43094,118981.74
21858,61432.18
92874,253885.54
1502,6267.42
68936,189013.56
23090,64770.9
-59186,-158197.06
98218,268367.78
-38884,-103178.64
85742,234557.82
54047,148664.37
-88211,-236854.81
92598,253137.58
-14417,-36873.07
-86685,-232719.35
-74141,-198725.11
-63447,-169744.37
35484,98358.64
60150,165203.5
71374,195620.54
-3716,-7873.36
-15751,-40488.21
-13164,-33477.44
12344,35649.24
80962,221604.02
57624,158358.04
50459,138940.89
17149,48670.79
-42365,-112612.15
48656,134054.76
-17447,-45084.37
60486,166114.06
23684,66380.64
73635,201747.85
-42071,-111815.41
10214,29876.94
-61719,-165061.49
98758,269831.18
-98220,-263979.2
87578,239533.38
71239,195254.69
161,2633.31
-87534,-235020.14
-86951,-233440.21
-29286,-77168.06
-85129,-228502.59
-90633,-243418.43
-19649,-51051.79
88426,241831.46
88308,241511.68
-5535,-12802.85
-15778,-40561.38
30436,84678.56
-3388,-6984.48
-86725,-232827.75
-89237,-239635.27
88955,243265.05
35698,98938.58
66096,181317.16
69202,189734.42
29451,82009.21
59645,163834.95
-23402,-61222.42
-23254,-60821.34
-96552,-259458.92
98740,269782.4
69515,190582.65
18051,51115.21
-67037,-179473.27
1820,7129.2
-20895,-54428.45
-1932,-3038.72
-98773,-265477.83
98305,268603.55
13121,37754.91
50178,138179.38
-69562,-186316.02
40967,113217.57
-69740,-186798.4
26744,74673.24
-62597,-167440.87
55088,151485.48
35210,97616.1
1995,7603.45
43895,121152.45
-52030,-138804.3
83227,227742.17
53930,148347.3
-94137,-252914.27
5244,16408.24
53068,146011.28
-26604,-69899.84
55851,153553.21
-31275,-82558.25
31665,88009.15
68728,188449.88
-38326,-101666.46
-55174,-147324.54
-62117,-166140.07
92214,252096.94
999,4904.29
82325,225297.75
-24213,-63420.23
-50923,-135804.33
6145,18849.95
74591,204338.61
95444,260850.24
76150,208563.5
15722,44803.62
89224,243994.04
-28006,-73699.26
25202,70494.42
-4723,-10602.33
-67296,-180175.16
-84519,-226849.49
-12685,-32179.35
69631,190897.01
11183,32502.93
-99317,-266952.07
86799,237422.29
98704,269684.84
55384,152287.64
-2726,-5190.46
-18092,-46832.32
-21678,-56550.38
-23260,-60837.6
-54873,-146508.83
-94501,-253900.71
27201,75911.71
-87668,-235383.28
-81869,-219667.99
-79216,-212478.36
54971,151168.41
54041,148648.11
-46205,-123018.55
71200,195149.0
79011,216316.81
31309,87044.39
-28212,-74257.52
-89945,-241553.95
8531,25316.01
-2351,-4174.21
44968,124060.28
90094,246351.74
-48068,-128067.28
25053,70090.63
-55423,-147999.33
-42757,-113674.47
7149,21570.79
-38366,-101774.86
90869,248451.99
-62851,-168129.21
-66058,-176820.18
-95383,-256290.93
-43013,-114368.23
22159,62247.89
31768,88288.28
94867,259286.57
-84930,-227963.3
-20215,-52585.65
-99326,-266976.46
-99164,-266537.44
29169,81244.99
-76344,-204695.24
58471,160653.41
91884,251202.64
-38214,-101362.94
46331,127754.01
-41627,-110612.17
65613,180008.23
-83809,-224925.39
-32968,-87146.28
-90366,-242694.86
8766,25952.86
4369,14036.99
-4137,-9014.27
-54550,-145633.5
-63347,-169473.37
26041,72768.11
32177,89396.67
-92711,-249049.81
21213,59684.23
18527,52405.17
69012,189219.52
-14072,-35938.12
-11881,-30000.51
-30743,-81116.53
28282,78841.22
28993,80768.03
-9489,-23518.19
-66564,-178191.44
43409,119835.39
-29492,-77726.32
-18676,-48414.96
-17097,-44135.87
-74726,-200310.46
-41106,-109200.26
-27102,-71249.42
-26976,-70907.96
32383,89954.93
45086,124380.06
-17440,-45065.4
62443,171417.53
58230,160000.3
-51085,-136243.35
-29732,-78376.72
-36259,-96064.89
-38820,-103005.2
-98951,-265960.21
55414,152368.94
28527,79505.17
-24717,-64786.07
92413,252636.23
-93764,-251903.44
19739,55689.69
15308,43681.68
79648,218043.08
-14061,-35908.31
-22425,-58574.75
-38430,-101948.3
-33335,-88140.85
50404,138791.84
-68535,-183532.85
-58267,-155706.57
-29813,-78596.23
-80804,-216781.84
-83978,-225383.38
80241,219650.11
58852,161685.92
11340,32928.4
7286,21942.06
28455,79310.05
30485,84811.35
94594,258546.74
63119,173249.49
-23831,-62385.01
-85942,-230705.82
9748,28614.08
94192,257457.32
8372,24885.12
-2361,-4201.31
4760,15096.6
-48711,-129809.81
-25026,-65623.46
13395,38497.45
-46643,-124205.53
-4388,-9694.48
-71372,-191221.12
-60301,-161218.71
-93592,-251437.32
-51952,-138592.92
46931,129380.01
-89549,-240480.79
8487,25196.77
26839,74930.69
-65613,-175614.23
-66667,-178470.57
19917,56172.07
-24696,-64729.16
-7214,-17352.94
25678,71784.38
17288,49047.48
-1567,-2049.57
95479,260945.09
-42186,-112127.06
-82849,-222323.79
-92927,-249635.17
19373,54697.83
61634,169225.14
7036,21264.56
78324,214455.04
-12282,-31087.22
35831,99299.01
35792,99193.32
-34121,-90270.91
-79203,-212443.13
43307,119558.97
-58420,-156121.2
84493,231173.03
-53460,-142679.6
37600,104093.0
-5997,-14054.87
85655,234322.05
-476,907.04
98057,267931.47
-53330,-142327.3
-21150,-55119.5
-38296,-101585.16
-90085,-241933.35
-89948,-241562.08
56530,155393.3
32226,89529.46
-25204,-66105.84
-35331,-93550.01
-7660,-18561.6
91127,249151.17
56201,154501.71
62082,170439.22
47629,131271.59
83643,228869.53
85004,232557.84
79070,216476.7
-16977,-43810.67
28470,79350.7
-90617,-243375.07
81297,222511.87
52887,145520.77
-91752,-246450.92
51095,140664.45
98361,268755.31
-67186,-179877.06
-18383,-47620.93
93194,254752.74
-49876,-132966.96
1140,5286.4
61864,169848.44
-39461,-104742.31
-60693,-162281.03
-31817,-84027.07
3478,11622.38
46413,127976.23
64909,178100.39
-21879,-57095.09
-4019,-8694.49
-85285,-228925.35
-73802,-197806.42
79707,218202.97
-18223,-47187.33
-10714,-26837.94
77290,211652.9
43298,119534.58
-69413,-185912.23
72341,198241.11
91718,250752.78
-65952,-176532.92
71339,195525.69
-79120,-212218.2
-30,2115.7
-38158,-101211.18
27167,75819.57
-89281,-239754.51
-65361,-174931.31
-2163,-3664.73
-91973,-247049.83
10231,29923.01
-24925,-65349.75
-17201,-44417.71
15376,43865.96
-19860,-51623.6
-7136,-17141.56
74700,204634.0
-85219,-228746.49
72295,198116.45
2394,8684.74
-18478,-47878.38
99358,271457.18
18351,51928.21
16636,47280.56
-44860,-119373.6
-67473,-180654.83
-65778,-176061.38
27438,76553.98
7695,23050.45
-57044,-152392.24
82772,226509.12
-42310,-112463.1
59637,163813.27
-22450,-58642.5
57157,157092.47
13183,37922.93
-77256,-207166.76
63773,175021.83
-90287,-242480.77
49713,136919.23
66366,182048.86
-95867,-257602.57
-18370,-47585.7
91646,250557.66
76172,208623.12
-98965,-265998.15
93263,254939.73
19024,53752.04
53216,146412.36
38430,106342.3
-73924,-198137.04
-90161,-242139.31
28709,79998.39
11741,34015.11
71975,197249.25
78933,216105.43
-12445,-31528.95
71516,196005.36
2272,8354.12
-44534,-118490.14
-23786,-62263.06
-49181,-131083.51
24044,67356.24
-65307,-174784.97
-54588,-145736.48
-28869,-76037.99
42271,116751.41
-44184,-117541.64
55163,151688.73
-16457,-42401.47
-60355,-161365.05
29464,82044.44
-70382,-188538.22
47871,131927.41
-83655,-224508.05
-59221,-158291.91
22693,63695.03
44285,122209.35
98548,269262.08
78873,215942.83
-2808,-5412.68
36583,101336.93
94350,257885.5
41375,114323.25
-78744,-211199.24
-12196,-30854.16
-34459,-91186.89
-1673,-2336.83
6798,20619.58
-75709,-202974.39
72267,198040.57
-66193,-177186.03
72255,198008.05
74015,202777.65
-51452,-137237.92
94148,257338.08
62287,170994.77
63406,174027.26
74522,204151.62
-57468,-153541.28
-72349,-193868.79
88944,243235.24
90829,248343.59
79768,218368.28
-89806,-241177.26
-87677,-235407.67
60547,166279.37
-60441,-161598.11
93906,256682.26
-81207,-217873.97
99667,272294.57
-31180,-82300.8
56058,154114.18
-84084,-225670.64
41600,114933.0
-48647,-129636.37
-99900,-268532.0
42368,117014.28
1479,6205.09
95792,261793.32
1355,5869.05
-21297,-55517.87
8786,26007.06
-74826,-200581.46
-71939,-192757.69
-41545,-110389.95
-73181,-196123.51
-34639,-91674.69
70832,194151.72
14884,42532.64
16927,48069.17
1415,6031.65
91453,250034.63
47447,130778.37
-75551,-202546.21
-72825,-195158.75
9271,27321.41
2773,9711.83
-29400,-77477.0
-31270,-82544.7
-42455,-112856.05
-63494,-169871.74
78889,215986.19
-68725,-184047.75
26364,73643.44
-67264,-180088.44
-3371,-6938.41
-50162,-133742.02
-86773,-232957.83
53677,147661.67
-21612,-56371.52
79014,216324.94
8371,24882.41
-26815,-70471.65
23217,65115.07
-78144,-209573.24
35504,98412.84
-38498,-102132.58
62322,171089.62
42565,117548.15
-23926,-62642.46
98462,269029.02
27543,76838.53
24369,68236.99
-63011,-168562.81
-48350,-128831.5
46485,128171.35
86931,237780.01
94652,258703.92
80270,219728.7
66471,182333.41
-93203,-250383.13
17245,48930.95
-25855,-67870.05
60662,166591.02
13131,37782.01
93280,254985.8
-8452,-20707.92
48238,132921.98
-72537,-194378.27
88208,241240.68
72609,198967.39
92171,251980.41
-18654,-48355.34
39317,108746.07
19129,54036.59
-89149,-239396.79
-51099,-136281.29
-25395,-66623.45
-586,608.94
20045,56518.95
-83688,-224597.48
-64613,-172904.23
28652,79843.92
54544,150011.24
20206,56955.26
51687,142268.77
20604,58033.84
16545,47033.95
-25553,-67051.63
11419,33142.49
96499,263709.29
-13930,-35553.3
-4321,-9512.91
54747,150561.37
-13616,-34702.36
81150,222113.5
-83261,-223440.31
-32880,-86907.8
93382,255262.22
-95539,-256713.69
-31799,-83978.29
8789,26015.19
21087,59342.77
-39181,-103983.51
-97540,-262136.4
-98100,-263654.0
37109,102762.39
-41422,-110056.62
60080,165013.8
77507,212240.97
9673,28410.83
-56194,-150088.74
-88961,-238887.31
98343,268706.53
59058,162244.18
30950,86071.5
43143,119114.53
70683,193747.93
53063,145997.73
-77284,-207242.64
-78458,-210424.18
-83646,-224483.66
-23459,-61376.89
14653,41906.63
82812,226617.52
66784,183181.64
22903,64264.13
88514,242069.94
29091,81033.61
-17954,-46458.34
15048,42977.08
-66844,-178950.24
-9071,-22385.41
-86723,-232822.33
42250,116694.5
-84955,-228031.05
-3340,-6854.4
71319,195471.49
47420,130705.2
24993,69928.03
-60630,-162110.3
-18949,-49154.79
67966,186384.86
-74263,-199055.73
93952,256806.92
64557,177146.47
-5532,-12794.72
61627,169206.17
-24643,-64585.53
-47107,-125462.97
-29877,-78769.67
-17064,-44046.44
10186,29801.06
5572,17297.12
-73455,-196866.05
69423,190333.33
94780,259050.8
7029,21245.59
98311,268619.81
80869,221351.99
-73292,-196424.32
-40414,-107324.94
858,4522.18
-34313,-90791.23
51879,142789.09
26007,72675.97
93516,255625.36
8435,25055.85
-71114,-190521.94
87448,239181.08
49834,137247.14
-29424,-77542.04
1077,5115.67
94185,257438.35
-72621,-194605.91
-83671,-224551.41
51059,140566.89
-75590,-202651.9
-71381,-191245.51
15823,45077.33
-15449,-39669.79
-43506,-115704.26
-664,397.56
-65960,-176554.6
4093,13289.03
-24407,-63945.97
-50100,-133574.0
10741,31305.11
11852,34315.92
-81044,-217432.24
53233,146458.43
51727,142377.17
58237,160019.27
32545,90393.95
-2669,-5035.99
83168,227582.28
-5504,-12718.84
-26265,-68981.15
10491,30627.61
-5610,-13006.1
-34101,-90216.71
76040,208265.4
-54951,-146720.21
14216,40722.36
-92465,-248383.15
92060,251679.6
-48153,-128297.63
11410,33118.1
-94931,-255066.01
77120,211192.2
-50850,-135606.5
38294,105973.74
-3011,-5962.81
-14113,-36049.23
70250,192574.5
73149,200430.79
14966,42754.86
-50899,-135739.29
62907,172674.97
-88220,-236879.2
-48751,-129918.21
81772,223799.12
-79322,-212765.62
69505,190555.55
86114,235565.94
85909,235010.39
-78252,-209865.92
-16441,-42358.11
77794,213018.74
90114,246405.94
854,4511.34
41514,114699.94
86532,236698.72
-50502,-134663.42
93541,255693.11
74676,204568.96
93933,256755.43
9605,28226.55
40088,110835.48
-17076,-44078.96
40246,111263.66
78678,215414.38
-67869,-181727.99
92218,252107.78
-26641,-70000.11
-76340,-204684.4
69034,189279.14
32693,90795.03
52628,144818.88
-242,1541.18
-3414,-7054.94
32829,91163.59
80065,219173.15
-44113,-117349.23
-68748,-184110.08
88984,243343.64
-98434,-264559.14
72161,197753.31
61921,170002.91
49707,136902.97
-42336,-112533.56
15194,43372.74
58801,161547.71
83922,229625.62
-84658,-227226.18
83412,228243.52
-86498,-232212.58
-78781,-211299.51
-15303,-39274.13
43091,118973.61
-93531,-251272.01
23353,65483.63
62368,171214.28
67107,184056.97
-47542,-126641.82
-88176,-236759.96
-56431,-150731.01
54462,149789.02
-62008,-165844.68
39335,108794.85
-79382,-212928.22
13652,39193.92
26527,74085.17
-39763,-105560.73
-30792,-81249.32
55758,153301.18
-72106,-193210.26
-34646,-91693.66
84359,230809.89
99841,272766.11
-1942,-3065.82
-58800,-157151.0
23922,67025.62
-10478,-26198.38
90705,248007.55
73140,200406.4
-96731,-259944.01
22534,63264.14
-97520,-262082.2
50367,138691.57
-74565,-199874.15
48188,132786.48
-79389,-212947.19
60231,165423.01
37754,104510.34
33292,92418.32
-77719,-208421.49
88645,242424.95
-21143,-55100.53
-24069,-63029.99
-63991,-171218.61
81065,221883.15
-23065,-60309.15
95179,260132.09
-84047,-225570.37
-88765,-238356.15
87506,239338.26
-40485,-107517.35
98363,268760.73
48993,134968.03
-22264,-58138.44
65861,180680.31
-92306,-247952.26
52494,144455.74
-17680,-45715.8
-65110,-174251.1
1072,5102.12
-83105,-223017.55
-18094,-46837.74
70747,193921.37
-56113,-149869.23
-28062,-73851.02
42845,118306.95
-90769,-243786.99
-39605,-105132.55
-55225,-147462.75
53003,145835.13
-74173,-198811.83
31124,86543.04
-80551,-216096.21
509,3576.39
86797,237416.87
-3719,-7881.49
-63639,-170264.69
-58418,-156115.78
-17082,-44095.22
-26316,-69119.36
12138,35090.98
-23540,-61596.4
68297,187281.87
77555,212371.05
72656,199094.76
-70798,-189665.58
28459,79320.89
42932,118542.72
-36735,-97354.85
35693,98925.03
-54378,-145167.38
81796,223864.16
81606,223349.26
-43363,-115316.73
89699,245281.29
20189,56909.19
-82119,-220345.49
3054,10473.34
46597,128474.87
-45054,-119899.34
-58810,-157178.1
-36231,-95989.01
-90029,-241781.59
-34773,-92037.83
87408,239072.68
-52176,-139199.96
-47603,-126807.13
76340,209078.4
72314,198167.94
14325,41017.75
-38111,-101083.81
31563,87732.73
-22333,-58325.43
51096,140667.16
-31230,-82436.3
60905,167249.55
-88270,-237014.7
42120,116342.2
-40879,-108585.09
9596,28202.16
-47087,-125408.77
-49859,-132920.89
94300,257750.0
-55127,-147197.17
-23981,-62791.51
56919,156447.49
20720,58348.2
42063,116187.73
-84600,-227069.0
-46429,-123625.59
-71394,-191280.74
72300,198130.0
31609,87857.39
2893,10037.03
-22861,-59756.31
52751,145152.21
-58282,-155747.22
29253,81472.63
47364,130553.44
-52944,-141281.24
-44493,-118379.03
-60317,-161262.07
67441,184962.11
-13766,-35108.86
13742,39437.82
89950,245961.5
-57363,-153256.73
-45209,-120319.39
33151,92036.21
83692,229002.32
34471,95613.41
-27157,-71398.47
33594,93236.74
-74490,-199670.9
-19459,-50536.89
69301,190002.71
53357,146794.47
-41971,-111544.41
-50725,-135267.75
-33411,-88346.81
95368,260644.28
16889,47966.19
-89890,-241404.9
47344,130499.24
-14738,-37742.98
-1677,-2347.67
49058,135144.18
73229,200647.59
18379,52004.09
-83247,-223402.37
35329,97938.59
-21111,-55013.81
-90834,-243963.14
50860,140027.6
-97393,-261738.03
7131,21522.01
78850,215880.5
-7686,-18632.06
53599,147450.29
-18666,-48387.86
-54327,-145029.17
41635,115027.85
92766,253592.86
99086,270720.06
69273,189926.83
-48349,-128828.79
-89027,-239066.17
56422,155100.62
-63931,-171056.01
64873,178002.83
14618,41811.78
-46296,-123265.16
-20105,-52287.55
10755,31343.05
40323,111472.33
-33607,-88877.97
96992,265045.32
81524,223127.04
-17958,-46469.18
-78187,-209689.77
64882,178027.22
-10480,-26203.8
29538,82244.98
-81122,-217643.62
-65245,-174616.95
-46937,-125002.27
-30039,-79208.69
-46454,-123693.34
-89004,-239003.84
69351,190138.21
3833,12584.43
-9873,-24558.83
30637,85223.27
57708,158585.68
87096,238227.16
-22970,-60051.7
87569,239508.99
10072,29492.12
-69467,-186058.57
-35180,-93140.8
-918,-290.78
-58625,-156676.75
24670,69052.7
-89724,-240955.04
-84071,-225635.41
-59328,-158581.88
88556,242183.76
34639,96068.69
-80593,-216210.03
-68656,-183860.76
20009,56421.39
80269,219725.99
-97987,-263347.77
40961,113201.31
74845,205026.95
53435,147005.85
62219,170810.49
78546,215056.66
20086,56630.06
26057,72811.47
65754,180390.34
-31821,-84037.91
-48531,-129322.01
-78654,-210955.34
-3815,-8141.65
96643,264099.53
27155,75787.05
-78113,-209489.23
69955,191775.05
75760,207506.6
79689,218154.19
81967,224327.57
9930,29107.3
44367,122431.57
10642,31036.82
48555,133781.05
66841,183336.11
-54657,-145923.47
-48438,-129069.98
-63650,-170294.5
20029,56475.59
52059,143276.89
69240,189837.4
24076,67442.96
-75615,-202719.65
-44102,-117319.42
51760,142466.6
12848,37015.08
-87843,-235857.53
-89797,-241152.87
36483,101065.93
-16843,-43447.53
72398,198395.58
-26267,-68986.57
-54478,-145438.38
85473,233828.83
-9812,-24393.52
-13935,-35566.85
-79039,-211998.69
-40857,-108525.47
-96326,-258846.46
-69060,-184955.6
-69777,-186898.67
-71372,-191221.12
-15977,-41100.67
-48130,-128235.3
-13483,-34341.93
-72694,-194803.74
104,2478.84
-49949,-133164.79
-54760,-146202.6
73879,202409.09
32880,91301.8
-53156,-141855.76
22177,62296.67
-74293,-199137.03
-98042,-263496.82
81143,222094.53
38642,106916.82
-38071,-100975.41
82352,225370.92
-98102,-263659.42
-33324,-88111.04
-43805,-116514.55
-2431,-4391.01
5188,16256.48
8420,25015.2
46917,129342.07
-71437,-191397.27
-82524,-221443.04
-89207,-239553.97
17355,49229.05
83497,228473.87
70261,192604.31
-14986,-38415.06
89600,245013.0
19987,56361.77
-48393,-128948.03
-18363,-47566.73
-94829,-254789.59
12777,36822.67
-82483,-221331.93
-59660,-159481.6
42576,117577.96
-93554,-251334.34
11909,34470.39
94538,258394.98
22969,64442.99
-47683,-127023.93
-22373,-58433.83
-77073,-206670.83
77831,213119.01
68358,187447.18
27251,76047.21
-23333,-61035.43
86527,236685.17
-15800,-40621.0
15888,45253.48
-63829,-170779.59
-26984,-70929.64
-83353,-223689.63
79168,216742.28
-68831,-184335.01
83625,228820.75
-45785,-121880.35
-62369,-166822.99
84081,230056.51
84659,231622.89
88821,242901.91
-23601,-61761.71
13922,39925.62
-49973,-133229.83
55439,152436.69
-5244,-12014.24
-38341,-101707.11
-80195,-215131.45
-17441,-45068.11
-6528,-15493.88
-50992,-135991.32
9835,28849.85
80774,221094.54
72224,197924.04
-4635,-10363.85
98986,270449.06
49824,137220.04
56363,154940.73
32358,89887.18
-29463,-77647.73
75388,206498.48
48573,133829.83
-10756,-26951.76
79322,217159.62
-99787,-268225.77
93086,254460.06
-41971,-111544.41
-49242,-131248.82
60703,166702.13
-1323,-1388.33
76624,209848.04
-64538,-172700.98
-70397,-188578.87
74607,204381.97
-60790,-162543.9
74817,204951.07
-46377,-123484.67
56007,153975.97
17107,48556.97
-21774,-56810.54
25079,70161.09
-28486,-75000.06
99522,271901.62
51899,142843.29
-67591,-180974.61
36828,102000.88
-41333,-109815.43
60175,165271.25
-98879,-265765.09
33802,93800.42
92013,251552.23
36678,101594.38
81700,223604.0
-48589,-129479.19
48258,132976.18
96809,264549.39
58771,161466.41
30286,84272.06
78632,215289.72
-38559,-102297.89
-37336,-98983.56
-16062,-41331.02
-3043,-6049.53
88973,243313.83
-41610,-110566.1
33987,94301.77
37681,104312.51
85157,232972.47
-20777,-54108.67
17891,50681.61
-82077,-220231.67
-12259,-31024.89
-98464,-264640.44
-32037,-84623.27
-91358,-245383.18
39323,108762.33
6399,19538.29
-17572,-45423.12
2699,9511.29
-52247,-139392.37
-60566,-161936.86
14210,40706.1
53828,148070.88
51863,142745.73
-26876,-70636.96
44273,122176.83
-383,1159.07
-63183,-169028.93
30331,84394.01
-60658,-162186.18
27272,76104.12
-67050,-179508.5
-17257,-44569.47
-63945,-171093.95
-78474,-210467.54
84430,231002.3
90726,248064.46
94427,258094.17
79122,216617.62
-46361,-123441.31
-47949,-127744.79
31650,87968.5
31833,88464.43
-1141,-895.11
2119,7939.49
-22991,-60108.61
95453,260874.63
-92475,-248410.25
37108,102759.68
-40973,-108839.83
-7412,-17889.52
-34695,-91826.45
16465,46817.15
31540,87670.4
-87214,-234152.94
67427,184924.17
50578,139263.38
-95725,-257217.75
-99968,-268716.28
-91809,-246605.39
72866,199663.86
50673,139520.83
81691,223579.61
-89134,-239356.14
33075,91830.25
44519,122843.49
89699,245281.29
-13509,-34412.39
5634,17465.14
-22446,-58631.66
68797,188636.87
33277,92377.67
-41330,-109807.3
-45804,-121931.84
55500,152602.0
72797,199476.87
67438,184953.98
47378,130591.38
46813,129060.23
-67793,-181522.03
97708,266985.68
